Age,TypeofContact,CityTier,DurationOfPitch,Occupation,Gender,NumberOfPersonVisiting,NumberOfFollowups,ProductPitched,PreferredPropertyStar,MaritalStatus,NumberOfTrips,Passport,PitchSatisfactionScore,OwnCar,NumberOfChildrenVisiting,Designation,MonthlyIncome,ProdTaken
30.0,1,1,24.0,2,0,3,3.0,0,3.0,2,2.0,0,1,1,2.0,1,17632.0,0
36.0,1,1,9.0,2,0,4,4.0,0,5.0,1,3.0,1,1,1,2.0,1,20752.0,1
44.0,1,1,13.0,3,0,4,5.0,1,3.0,3,3.0,1,4,1,2.0,2,22759.0,0
27.0,1,1,11.0,1,1,2,4.0,3,3.0,1,2.0,1,3,0,0.0,3,27808.0,0
32.0,1,2,29.0,2,1,3,6.0,0,3.0,1,3.0,0,1,0,2.0,1,28530.0,1
30.0,0,1,9.0,3,0,3,3.0,0,3.0,1,2.0,0,3,1,1.0,1,17083.0,0
38.0,1,1,31.0,2,0,2,4.0,3,4.0,0,4.0,0,3,1,0.0,3,27061.0,0
36.0,0,1,9.0,2,0,4,4.0,1,5.0,1,4.0,0,4,0,1.0,2,23771.0,0
32.0,1,3,13.0,2,1,4,6.0,1,3.0,1,6.0,1,3,0,3.0,2,24850.0,1
40.0,0,1,6.0,2,1,3,4.0,4,4.0,1,2.0,0,1,1,1.0,0,28503.0,0
46.0,1,3,8.0,1,0,3,5.0,4,4.0,1,4.0,1,5,1,0.0,0,31872.0,0
29.0,1,1,12.0,3,0,2,3.0,0,3.0,0,2.0,0,3,0,0.0,1,18131.0,0
48.0,0,3,34.0,2,0,4,2.0,1,3.0,3,6.0,1,4,1,3.0,2,25075.0,1
32.0,1,1,15.0,2,0,3,3.0,1,3.0,1,2.0,1,5,1,2.0,2,21322.0,0
36.0,1,1,14.0,2,1,4,4.0,0,4.0,3,3.0,1,3,1,2.0,1,24041.0,1
30.0,0,3,9.0,2,1,4,4.0,1,3.0,0,3.0,0,2,1,2.0,2,23327.0,0
35.0,0,1,9.0,2,1,4,4.0,1,3.0,3,4.0,0,4,1,3.0,2,22711.0,0
54.0,1,1,13.0,2,1,3,4.0,1,3.0,2,4.0,0,5,1,2.0,2,21128.0,0
35.0,0,3,26.0,3,1,4,2.0,1,3.0,3,2.0,1,1,0,1.0,2,23982.0,1
41.0,0,1,16.0,3,1,3,4.0,0,4.0,1,2.0,1,4,0,1.0,1,22295.0,0
25.0,1,1,25.0,2,1,3,4.0,0,3.0,1,2.0,0,4,0,1.0,1,21452.0,0
37.0,0,1,11.0,2,0,4,4.0,1,4.0,1,2.0,0,3,1,2.0,2,23809.0,0
30.0,1,3,6.0,2,1,3,4.0,1,5.0,1,2.0,0,4,1,1.0,2,24714.0,1
32.0,1,3,17.0,3,0,3,4.0,1,3.0,1,4.0,1,1,0,1.0,2,25261.0,0
34.0,1,3,12.0,3,0,3,4.0,0,3.0,3,3.0,1,2,1,1.0,1,21529.0,1
20.0,1,1,10.0,1,1,2,3.0,0,5.0,2,2.0,0,3,1,1.0,1,17973.0,1
37.0,1,1,10.0,2,1,4,2.0,1,5.0,1,8.0,0,1,1,3.0,2,25520.0,0
30.0,0,3,32.0,3,0,2,4.0,1,5.0,3,6.0,0,1,1,1.0,2,21696.0,1
34.0,0,1,13.0,2,1,2,4.0,1,3.0,1,5.0,0,5,1,1.0,2,26403.0,0
33.0,1,1,9.0,1,1,3,5.0,1,5.0,2,6.0,0,4,0,2.0,2,20854.0,0
38.0,0,1,18.0,2,1,3,4.0,3,3.0,1,3.0,1,3,1,2.0,3,30863.0,0
35.0,1,3,11.0,2,1,4,4.0,3,3.0,1,4.0,1,4,0,3.0,3,28391.0,0
29.0,1,1,34.0,3,0,3,6.0,1,5.0,1,2.0,0,4,1,1.0,2,23886.0,0
41.0,1,1,17.0,2,0,3,3.0,0,3.0,0,5.0,1,3,0,2.0,1,20891.0,0
59.0,0,2,8.0,2,0,2,4.0,2,3.0,1,1.0,0,1,0,1.0,4,33844.0,0
56.0,0,3,9.0,2,0,3,5.0,0,3.0,2,2.0,0,5,0,1.0,1,32255.0,1
28.0,0,1,10.0,3,1,3,4.0,0,3.0,0,3.0,0,2,1,1.0,1,20384.0,0
28.0,1,1,9.0,3,1,3,4.0,0,4.0,0,2.0,0,5,1,1.0,1,22146.0,0
27.0,1,3,8.0,3,0,2,1.0,1,3.0,3,1.0,0,1,0,1.0,2,21500.0,0
50.0,0,2,9.0,3,1,3,3.0,2,4.0,1,2.0,0,1,1,2.0,4,33200.0,0
38.0,1,1,6.0,2,0,2,3.0,3,3.0,3,5.0,1,1,0,1.0,3,22861.0,0
34.0,1,1,11.0,3,0,2,4.0,3,5.0,3,3.0,0,2,0,0.0,3,26631.0,0
42.0,1,1,10.0,1,1,2,3.0,2,3.0,1,2.0,0,1,0,0.0,4,34232.0,0
31.0,0,1,12.0,2,1,4,5.0,0,3.0,1,2.0,0,5,0,1.0,1,22439.0,0
37.0,1,2,20.0,2,1,3,4.0,0,4.0,0,6.0,0,3,1,1.0,1,20821.0,0
46.0,1,3,8.0,3,0,2,3.0,2,5.0,2,4.0,0,2,0,1.0,4,33947.0,0
41.0,0,3,10.0,3,1,2,3.0,1,4.0,3,2.0,0,3,1,0.0,2,24355.0,1
56.0,0,1,15.0,3,1,3,5.0,4,4.0,1,3.0,1,3,1,2.0,0,32255.0,0
27.0,1,1,9.0,3,1,3,5.0,0,3.0,3,2.0,0,3,0,1.0,1,22582.0,0
44.0,1,1,16.0,2,1,3,3.0,0,3.0,2,2.0,1,3,1,2.0,1,17936.0,1
29.0,1,1,7.0,2,1,4,5.0,0,3.0,1,3.0,0,4,0,2.0,1,20241.0,0
29.0,1,1,6.0,1,1,2,3.0,0,3.0,2,1.0,0,2,0,0.0,1,17058.0,1
32.0,0,1,6.0,2,0,3,4.0,0,4.0,1,7.0,0,3,0,2.0,1,17332.0,0
35.0,0,1,23.0,2,0,4,5.0,0,3.0,2,3.0,0,5,1,3.0,1,21231.0,0
33.0,1,1,14.0,2,1,2,1.0,0,5.0,1,7.0,0,3,1,1.0,1,18143.0,0
33.0,0,3,33.0,3,1,4,4.0,1,3.0,0,2.0,0,4,1,3.0,2,23143.0,0
43.0,0,1,33.0,2,0,2,3.0,3,5.0,1,1.0,0,4,1,0.0,3,25820.0,0
44.0,1,2,9.0,2,1,4,4.0,0,3.0,3,2.0,0,1,0,1.0,1,22217.0,0
29.0,1,1,16.0,3,0,4,4.0,0,3.0,1,7.0,0,3,1,2.0,1,21055.0,0
21.0,1,1,11.0,1,1,3,4.0,0,5.0,3,3.0,0,3,1,1.0,1,21651.0,1
38.0,1,3,9.0,3,1,4,4.0,1,3.0,1,6.0,1,3,0,3.0,2,28280.0,0
39.0,1,3,8.0,2,1,2,1.0,3,3.0,3,1.0,0,2,1,1.0,3,22880.0,0
34.0,1,3,15.0,2,0,3,3.0,1,3.0,1,2.0,0,1,0,0.0,2,20714.0,0
37.0,1,1,7.0,2,0,3,4.0,1,4.0,0,2.0,0,5,0,1.0,2,23906.0,0
51.0,1,1,12.0,2,1,2,3.0,2,3.0,2,1.0,0,5,1,0.0,4,34537.0,0
35.0,1,1,12.0,2,1,2,5.0,1,3.0,3,2.0,0,5,1,0.0,2,21646.0,0
37.0,1,1,10.0,2,0,3,4.0,0,3.0,1,7.0,0,1,0,2.0,1,21513.0,0
47.0,1,1,8.0,2,0,2,3.0,4,3.0,1,2.0,1,4,1,0.0,0,31752.0,0
29.0,1,1,14.0,3,1,3,4.0,1,3.0,0,2.0,1,3,0,0.0,2,20056.0,0
56.0,1,1,6.0,2,0,2,3.0,0,5.0,0,3.0,0,5,1,1.0,1,17066.0,0
40.0,0,1,32.0,3,0,2,3.0,1,4.0,1,2.0,0,2,1,0.0,2,20605.0,0
42.0,0,1,9.0,2,0,4,5.0,1,3.0,3,4.0,1,1,0,1.0,2,25489.0,0
45.0,1,3,19.0,3,1,2,1.0,4,3.0,2,7.0,1,3,1,0.0,0,33824.0,1
45.0,0,1,8.0,3,1,3,4.0,4,3.0,0,1.0,0,4,1,0.0,0,31792.0,0
41.0,1,3,8.0,2,1,2,3.0,4,4.0,2,2.0,0,3,1,1.0,0,31015.0,0
51.0,1,3,32.0,3,0,3,3.0,4,3.0,0,3.0,0,3,0,1.0,0,31307.0,0
32.0,1,1,7.0,2,1,4,5.0,0,5.0,1,3.0,0,4,1,2.0,1,20896.0,0
28.0,1,3,15.0,2,1,3,3.0,1,3.0,2,2.0,0,3,1,0.0,2,20253.0,0
32.0,1,1,12.0,1,1,3,4.0,0,3.0,0,2.0,1,4,0,2.0,1,23499.0,0
43.0,1,1,10.0,2,0,4,2.0,1,3.0,0,4.0,1,5,0,1.0,2,23909.0,0
38.0,1,1,9.0,0,1,4,5.0,0,3.0,2,8.0,1,3,0,1.0,1,20768.0,1
46.0,0,3,11.0,3,1,3,3.0,1,3.0,2,5.0,1,5,1,1.0,2,20772.0,0
44.0,1,3,32.0,3,1,4,5.0,3,3.0,1,7.0,0,4,1,2.0,3,29476.0,0
41.0,1,3,29.0,3,1,4,5.0,1,3.0,0,4.0,1,3,1,2.0,2,25058.0,1
40.0,1,1,21.0,2,0,3,4.0,3,3.0,1,2.0,0,1,1,1.0,3,25435.0,0
42.0,0,3,32.0,3,0,3,3.0,4,4.0,0,6.0,0,3,1,2.0,0,28525.0,0
40.0,1,2,10.0,2,0,3,2.0,1,4.0,1,2.0,0,1,0,1.0,2,25067.0,0
27.0,1,1,23.0,2,0,2,3.0,0,3.0,2,2.0,1,5,1,0.0,1,17394.0,1
48.0,1,3,8.0,3,1,2,4.0,1,4.0,3,1.0,1,1,1,0.0,2,22898.0,1
39.0,1,1,16.0,3,1,3,3.0,1,5.0,1,3.0,0,5,1,2.0,2,20377.0,0
36.0,1,1,29.0,2,1,3,6.0,0,3.0,3,2.0,0,4,1,2.0,1,22908.0,0
51.0,1,3,10.0,3,1,3,5.0,0,3.0,0,3.0,1,4,0,1.0,1,21361.0,1
48.0,0,3,10.0,3,0,3,4.0,4,3.0,1,2.0,1,5,1,2.0,0,32448.0,0
35.0,1,3,23.0,2,1,3,3.0,1,5.0,0,4.0,1,3,1,1.0,2,23966.0,0
31.0,1,1,27.0,2,1,3,4.0,1,5.0,0,2.0,0,4,1,1.0,2,28635.0,0
26.0,0,1,11.0,3,0,2,4.0,0,3.0,1,2.0,1,1,0,1.0,1,17366.0,1
54.0,1,1,25.0,3,0,3,3.0,1,5.0,1,1.0,1,3,0,0.0,2,20485.0,0
39.0,1,1,9.0,3,1,4,4.0,0,3.0,0,8.0,1,4,0,1.0,1,21735.0,0
44.0,1,1,16.0,2,1,2,3.0,1,3.0,1,3.0,1,3,0,1.0,2,21465.0,0
48.0,0,1,10.0,3,1,2,4.0,4,3.0,1,3.0,0,5,1,1.0,0,30202.0,0
43.0,1,1,13.0,2,0,2,3.0,3,5.0,1,1.0,0,5,1,0.0,3,24985.0,0
34.0,1,3,8.0,2,1,2,3.0,1,3.0,2,2.0,0,5,0,0.0,2,21274.0,0
27.0,1,3,36.0,3,1,3,4.0,1,3.0,1,7.0,0,5,0,1.0,2,22984.0,0
32.0,0,3,27.0,3,0,3,4.0,1,3.0,0,3.0,0,2,1,1.0,2,25610.0,0
31.0,1,3,36.0,1,1,3,4.0,3,4.0,1,5.0,0,4,0,2.0,3,27928.0,0
36.0,1,1,11.0,2,1,3,3.0,1,4.0,2,1.0,0,2,0,2.0,2,20914.0,0
55.0,1,3,10.0,3,0,3,4.0,1,5.0,0,4.0,0,4,1,2.0,2,24618.0,0
51.0,1,1,8.0,3,1,2,5.0,1,4.0,1,6.0,0,1,0,1.0,2,20482.0,0
41.0,1,1,21.0,3,1,3,5.0,2,3.0,2,3.0,0,3,1,2.0,4,38304.0,0
59.0,1,3,31.0,2,0,2,3.0,3,5.0,3,1.0,0,3,1,0.0,3,22637.0,0
24.0,0,1,15.0,3,1,2,3.0,0,5.0,2,3.0,1,3,0,1.0,1,18172.0,1
46.0,1,3,8.0,3,0,3,3.0,4,5.0,1,1.0,0,1,1,1.0,0,32048.0,0
51.0,1,3,27.0,3,1,3,3.0,1,3.0,2,1.0,1,5,1,1.0,2,20441.0,0
47.0,0,1,6.0,3,0,3,3.0,3,4.0,1,1.0,0,5,0,0.0,3,26957.0,0
44.0,1,3,16.0,3,0,3,6.0,1,3.0,3,2.0,0,2,1,2.0,2,24024.0,1
36.0,1,1,16.0,2,0,4,5.0,3,3.0,1,3.0,1,4,1,3.0,3,29363.0,0
41.0,1,1,9.0,2,1,4,4.0,1,3.0,3,3.0,0,3,1,3.0,2,23339.0,0
56.0,1,1,13.0,1,1,3,3.0,0,3.0,1,1.0,0,4,1,2.0,1,17339.0,1
38.0,0,1,12.0,1,1,3,2.0,0,3.0,3,2.0,0,5,1,1.0,1,22178.0,0
35.0,1,3,16.0,3,1,2,4.0,3,5.0,1,1.0,0,5,1,1.0,3,25306.0,1
29.0,1,1,9.0,3,1,3,4.0,3,3.0,1,2.0,0,1,0,2.0,3,26935.0,0
44.0,1,1,14.0,2,0,3,4.0,3,5.0,1,2.0,0,5,1,1.0,3,28663.0,0
44.0,0,1,16.0,3,1,4,4.0,1,3.0,1,5.0,1,3,1,1.0,2,24357.0,0
38.0,0,1,29.0,2,1,2,4.0,3,3.0,3,1.0,0,3,1,0.0,3,24526.0,0
25.0,1,1,24.0,3,0,3,5.0,1,3.0,1,3.0,0,3,0,1.0,2,23055.0,0
42.0,0,1,27.0,3,0,2,3.0,1,3.0,1,3.0,0,2,0,0.0,2,20265.0,0
39.0,1,3,10.0,2,0,2,4.0,1,3.0,1,5.0,0,5,1,1.0,2,20902.0,0
26.0,1,1,7.0,1,1,3,4.0,0,3.0,0,6.0,0,5,1,2.0,1,21907.0,0
30.0,0,3,18.0,2,1,3,4.0,0,5.0,1,2.0,0,5,1,2.0,1,17033.0,1
36.0,1,1,14.0,1,0,2,3.0,3,3.0,1,2.0,0,4,1,1.0,3,25096.0,0
35.0,1,1,28.0,2,0,3,1.0,3,4.0,1,1.0,0,5,1,2.0,3,26996.0,0
28.0,1,1,15.0,3,1,3,3.0,0,3.0,0,2.0,0,2,1,1.0,1,17070.0,0
26.0,1,3,12.0,3,1,3,5.0,1,3.0,3,3.0,1,3,1,1.0,2,24422.0,1
30.0,1,1,15.0,3,1,2,4.0,0,3.0,2,2.0,0,4,1,1.0,1,17206.0,0
36.0,1,3,9.0,2,1,2,4.0,3,3.0,1,2.0,1,1,1,0.0,3,25325.0,1
30.0,0,1,31.0,2,1,4,5.0,0,3.0,2,3.0,1,3,1,3.0,1,21117.0,1
50.0,1,3,5.0,3,1,2,3.0,2,3.0,1,5.0,1,5,0,1.0,4,34331.0,0
29.0,1,3,8.0,3,1,3,4.0,1,4.0,0,3.0,0,4,0,1.0,2,21644.0,0
44.0,1,3,16.0,3,0,3,6.0,1,3.0,3,2.0,0,1,0,1.0,2,24024.0,1
32.0,0,1,10.0,3,1,4,4.0,3,3.0,1,2.0,0,4,1,3.0,3,32353.0,0
24.0,1,1,27.0,1,1,2,4.0,0,5.0,1,1.0,0,3,0,0.0,1,17296.0,0
27.0,0,1,18.0,3,1,3,4.0,1,5.0,0,3.0,1,3,1,2.0,2,23419.0,0
40.0,1,1,14.0,3,1,3,4.0,0,3.0,3,2.0,1,4,1,2.0,1,24094.0,1
23.0,0,1,23.0,3,1,4,2.0,0,3.0,1,3.0,1,3,0,3.0,1,21613.0,0
43.0,0,1,27.0,3,1,3,3.0,0,3.0,0,1.0,0,4,0,2.0,1,17258.0,0
33.0,0,1,13.0,2,1,2,3.0,1,3.0,1,2.0,0,5,1,1.0,2,20968.0,0
50.0,1,1,15.0,2,1,3,3.0,0,3.0,1,5.0,0,5,1,2.0,1,17380.0,0
28.0,0,1,10.0,3,1,4,5.0,0,3.0,1,3.0,1,1,0,3.0,1,21244.0,0
53.0,1,3,6.0,3,0,2,3.0,1,5.0,3,1.0,0,1,1,1.0,2,23381.0,0
50.0,0,3,6.0,2,0,3,3.0,1,3.0,0,1.0,0,2,1,1.0,2,21347.0,0
35.0,1,1,24.0,2,0,3,4.0,0,3.0,3,3.0,1,5,1,1.0,1,23216.0,1
34.0,0,3,7.0,2,0,3,2.0,1,5.0,1,4.0,0,3,0,2.0,2,24054.0,0
46.0,1,3,6.0,3,0,3,3.0,3,5.0,1,2.0,0,2,1,1.0,3,25453.0,0
52.0,1,1,17.0,2,0,2,3.0,1,3.0,1,1.0,0,1,1,0.0,2,18149.0,0
47.0,1,3,9.0,1,0,4,6.0,4,4.0,1,5.0,1,5,1,1.0,0,35550.0,0
44.0,1,1,15.0,2,1,3,3.0,0,5.0,1,2.0,1,3,1,0.0,1,17559.0,0
33.0,1,1,32.0,2,1,3,4.0,0,3.0,3,3.0,1,5,0,1.0,1,21473.0,1
25.0,1,3,34.0,2,1,2,4.0,1,3.0,1,3.0,0,4,1,1.0,2,23639.0,0
44.0,1,3,9.0,3,1,4,4.0,1,3.0,1,3.0,1,3,0,1.0,2,26525.0,0
33.0,0,1,6.0,2,0,3,3.0,3,3.0,3,2.0,1,2,1,0.0,3,28458.0,0
37.0,1,1,17.0,1,0,4,4.0,3,3.0,0,5.0,0,3,0,3.0,3,25772.0,0
30.0,1,1,13.0,3,1,2,4.0,0,4.0,1,2.0,0,5,0,0.0,1,17141.0,0
42.0,1,3,13.0,3,1,3,4.0,3,3.0,3,3.0,0,5,1,1.0,3,27919.0,0
30.0,0,1,9.0,3,0,3,3.0,0,3.0,1,2.0,0,3,1,1.0,1,17083.0,0
37.0,0,1,10.0,1,1,3,4.0,0,4.0,1,3.0,0,3,0,2.0,1,22370.0,0
32.0,1,1,16.0,2,1,3,5.0,0,4.0,3,2.0,1,3,1,1.0,1,21335.0,0
31.0,0,1,26.0,2,1,3,3.0,3,3.0,0,4.0,0,3,1,0.0,3,24824.0,1
50.0,0,1,15.0,2,1,4,5.0,1,4.0,1,3.0,0,1,0,1.0,2,23808.0,0
34.0,1,1,9.0,3,1,4,4.0,0,3.0,2,6.0,0,3,0,3.0,1,21174.0,0
39.0,0,1,19.0,2,1,2,5.0,1,5.0,1,4.0,0,5,1,1.0,2,24966.0,0
34.0,1,3,10.0,2,1,3,3.0,3,3.0,1,3.0,1,4,0,2.0,3,24713.0,0
48.0,0,3,11.0,3,1,4,4.0,1,3.0,3,5.0,0,4,0,3.0,2,21654.0,0
33.0,0,3,14.0,2,0,2,4.0,0,3.0,2,1.0,0,2,1,1.0,1,17342.0,0
43.0,0,1,28.0,3,0,3,4.0,1,3.0,1,4.0,0,1,0,1.0,2,23943.0,0
46.0,1,3,27.0,2,0,3,4.0,1,3.0,3,2.0,0,1,1,1.0,2,23528.0,0
37.0,1,1,23.0,2,0,3,2.0,0,5.0,3,3.0,0,1,1,1.0,1,21421.0,1
31.0,0,3,26.0,3,0,2,3.0,1,3.0,0,2.0,0,2,1,0.0,2,21932.0,0
23.0,1,1,18.0,3,0,3,4.0,0,4.0,1,3.0,0,1,1,2.0,1,20922.0,0
39.0,1,1,11.0,3,0,3,4.0,0,3.0,1,2.0,0,5,0,1.0,1,21984.0,0
41.0,1,1,13.0,2,0,4,4.0,4,3.0,2,2.0,0,5,1,1.0,0,31915.0,0
42.0,1,3,20.0,3,0,3,4.0,1,3.0,2,1.0,0,3,0,0.0,2,21244.0,0
33.0,0,1,11.0,2,0,3,3.0,3,4.0,0,7.0,0,3,1,2.0,3,26878.0,0
33.0,1,3,13.0,3,1,3,4.0,1,3.0,3,3.0,0,5,1,2.0,2,23688.0,0
37.0,1,1,10.0,1,1,2,4.0,1,4.0,3,6.0,0,2,1,1.0,2,23163.0,0
43.0,0,3,21.0,2,1,2,4.0,1,3.0,1,4.0,0,5,1,0.0,2,21804.0,0
36.0,1,3,19.0,3,1,3,4.0,1,5.0,1,6.0,1,1,1,0.0,2,21134.0,1
37.0,0,1,25.0,2,1,3,2.0,0,3.0,1,6.0,0,5,1,2.0,1,22366.0,0
49.0,1,1,10.0,3,1,2,4.0,2,3.0,1,3.0,0,3,0,1.0,4,33711.0,0
45.0,1,1,26.0,3,1,3,5.0,3,5.0,1,3.0,1,3,0,0.0,3,25851.0,0
29.0,1,1,9.0,3,1,3,4.0,0,3.0,3,8.0,0,3,1,2.0,1,23060.0,1
41.0,0,1,33.0,3,0,4,5.0,1,3.0,0,5.0,1,2,1,1.0,2,23100.0,0
40.0,1,1,31.0,2,1,3,4.0,1,3.0,3,2.0,0,4,1,1.0,2,22786.0,0
42.0,1,1,13.0,3,0,3,1.0,1,4.0,0,7.0,1,1,0,0.0,2,17372.0,0
33.0,1,1,10.0,2,0,3,4.0,3,3.0,2,5.0,0,2,1,2.0,3,29837.0,0
39.0,1,1,30.0,2,1,3,4.0,1,3.0,1,2.0,0,3,0,2.0,2,24423.0,0
36.0,0,3,6.0,3,0,2,3.0,1,3.0,3,5.0,0,2,1,1.0,2,21653.0,0
32.0,1,3,14.0,2,1,3,5.0,0,3.0,0,5.0,0,4,1,2.0,1,21007.0,0
20.0,1,1,17.0,3,0,3,4.0,0,5.0,2,2.0,1,3,1,2.0,1,17600.0,1
41.0,1,1,20.0,2,1,2,3.0,0,3.0,1,5.0,0,4,1,1.0,1,17451.0,0
55.0,1,1,8.0,1,1,3,4.0,0,3.0,1,1.0,0,5,0,0.0,1,17662.0,0
25.0,1,1,7.0,3,1,4,4.0,0,3.0,0,4.0,1,3,1,3.0,1,20971.0,1
32.0,1,3,15.0,2,1,3,4.0,3,3.0,1,3.0,0,3,1,1.0,3,29471.0,0
36.0,1,3,11.0,1,1,3,4.0,3,5.0,3,2.0,1,4,1,2.0,3,28260.0,1
30.0,1,1,34.0,3,0,3,3.0,1,3.0,0,2.0,0,3,0,2.0,2,20775.0,0
36.0,0,1,30.0,2,0,2,3.0,1,4.0,1,1.0,0,3,1,1.0,2,20674.0,0
19.0,0,3,12.0,3,1,4,4.0,0,4.0,2,3.0,1,4,1,3.0,1,20556.0,1
38.0,1,1,12.0,3,1,4,4.0,1,3.0,1,2.0,0,3,1,3.0,2,25025.0,0
36.0,1,1,7.0,3,1,3,5.0,0,3.0,1,8.0,0,1,1,2.0,1,20936.0,0
33.0,1,3,14.0,2,1,2,3.0,1,5.0,1,3.0,0,5,1,0.0,2,21392.0,0
35.0,0,1,6.0,3,1,3,3.0,0,5.0,0,5.0,0,2,0,1.0,1,17194.0,0
32.0,1,3,13.0,3,1,4,2.0,1,3.0,1,6.0,0,5,1,2.0,2,24138.0,0
28.0,1,3,11.0,3,1,3,3.0,1,3.0,2,2.0,0,3,1,0.0,2,19908.0,0
29.0,1,1,9.0,2,1,4,4.0,0,3.0,3,4.0,0,4,0,2.0,1,22163.0,1
33.0,1,3,17.0,3,1,3,4.0,1,3.0,3,3.0,0,4,1,2.0,2,24074.0,0
49.0,1,1,7.0,2,0,3,5.0,4,5.0,1,2.0,0,4,0,1.0,0,34080.0,0
36.0,1,3,9.0,3,0,2,3.0,1,4.0,3,4.0,1,4,0,1.0,2,24278.0,0
48.0,1,1,9.0,3,0,4,4.0,1,3.0,1,7.0,0,2,0,2.0,2,23748.0,0
38.0,0,1,8.0,2,0,3,1.0,1,5.0,2,7.0,1,2,1,2.0,2,20980.0,0
48.0,1,3,22.0,2,0,3,3.0,1,3.0,1,1.0,0,4,1,0.0,2,21439.0,0
31.0,0,3,6.0,2,0,2,3.0,0,4.0,2,2.0,1,5,1,1.0,1,17302.0,1
26.0,1,1,14.0,3,1,4,5.0,0,3.0,0,3.0,0,2,1,3.0,1,21567.0,0
36.0,0,1,9.0,3,1,3,4.0,1,3.0,1,4.0,0,3,0,2.0,2,24440.0,0
43.0,0,1,15.0,3,1,3,3.0,1,3.0,1,4.0,1,3,1,0.0,2,20679.0,0
39.0,0,1,9.0,2,0,4,2.0,1,5.0,3,8.0,1,2,1,3.0,2,24658.0,0
35.0,1,1,12.0,2,1,2,5.0,1,3.0,3,2.0,0,5,0,1.0,2,21646.0,0
51.0,1,1,14.0,2,1,2,4.0,3,4.0,0,6.0,0,3,1,1.0,3,27490.0,0
45.0,1,1,15.0,2,1,2,3.0,1,4.0,1,1.0,0,4,1,0.0,2,17348.0,0
44.0,1,1,19.0,2,1,3,5.0,4,4.0,1,3.0,0,3,0,2.0,0,33014.0,0
41.0,1,1,15.0,3,1,4,5.0,0,3.0,3,3.0,1,4,1,3.0,1,27772.0,1
38.0,0,1,17.0,3,1,4,4.0,3,3.0,1,8.0,0,3,0,3.0,3,28726.0,1
51.0,1,1,35.0,3,1,4,2.0,0,3.0,1,3.0,1,1,0,2.0,1,21899.0,0
23.0,1,1,10.0,2,0,3,4.0,1,3.0,1,2.0,1,5,1,2.0,2,22849.0,1
50.0,0,1,8.0,2,1,3,3.0,4,5.0,1,2.0,0,5,1,1.0,0,32924.0,0
59.0,1,2,12.0,3,1,2,3.0,0,3.0,0,1.0,0,4,1,0.0,1,17267.0,0
34.0,1,2,9.0,2,1,3,4.0,0,3.0,0,3.0,0,2,0,1.0,1,22278.0,0
28.0,1,1,30.0,2,1,2,4.0,0,3.0,2,6.0,1,2,0,0.0,1,17028.0,1
52.0,1,1,9.0,3,1,3,6.0,1,4.0,1,7.0,0,1,0,2.0,2,24160.0,0
51.0,1,3,10.0,3,1,3,5.0,0,3.0,1,3.0,1,4,1,2.0,1,21361.0,1
31.0,1,1,6.0,2,1,3,4.0,0,5.0,0,2.0,0,4,0,0.0,1,17218.0,0
28.0,1,1,30.0,3,1,2,3.0,0,4.0,1,2.0,1,1,0,0.0,1,17408.0,1
41.0,1,1,22.0,2,0,4,5.0,3,3.0,1,3.0,0,1,1,2.0,3,29113.0,0
48.0,1,1,9.0,3,0,4,4.0,1,3.0,1,7.0,0,1,0,1.0,2,23748.0,0
27.0,0,3,14.0,2,1,2,3.0,3,3.0,3,2.0,0,1,1,0.0,3,23726.0,0
33.0,1,1,21.0,3,1,2,3.0,3,3.0,0,1.0,1,5,0,0.0,3,28610.0,1
28.0,1,1,26.0,2,1,4,5.0,0,5.0,1,3.0,0,1,0,1.0,1,22744.0,0
33.0,1,1,8.0,3,1,3,3.0,0,3.0,2,5.0,0,3,0,2.0,1,17496.0,0
36.0,1,2,14.0,2,1,3,4.0,0,5.0,0,1.0,0,2,1,2.0,1,17342.0,0
32.0,1,1,31.0,3,0,4,5.0,1,5.0,3,3.0,0,5,1,1.0,2,25490.0,0
30.0,0,3,9.0,2,1,4,4.0,1,3.0,1,3.0,0,1,1,2.0,2,23327.0,0
29.0,1,1,16.0,2,0,3,4.0,0,5.0,2,7.0,1,5,1,0.0,1,17404.0,1
35.0,1,1,13.0,3,1,3,4.0,0,5.0,3,4.0,0,2,1,2.0,1,21638.0,1
31.0,1,3,13.0,3,1,3,3.0,1,3.0,1,5.0,0,1,0,0.0,2,22547.0,0
26.0,1,3,15.0,2,0,3,4.0,1,3.0,1,2.0,1,1,1,2.0,2,23585.0,0
29.0,1,1,7.0,2,1,3,4.0,0,3.0,1,3.0,0,1,0,1.0,1,20722.0,0
35.0,1,3,35.0,3,0,4,5.0,1,3.0,1,3.0,0,5,1,1.0,2,25390.0,0
47.0,1,1,25.0,3,0,3,4.0,1,3.0,1,4.0,0,5,0,1.0,2,23488.0,0
19.0,0,1,15.0,3,1,4,4.0,0,3.0,2,3.0,0,5,0,1.0,1,20582.0,1
41.0,1,1,9.0,3,0,3,5.0,0,3.0,2,2.0,1,3,0,1.0,1,21020.0,0
60.0,1,1,9.0,2,0,4,5.0,4,3.0,2,5.0,1,5,0,3.0,0,32404.0,0
46.0,1,3,15.0,3,1,3,4.0,3,3.0,3,2.0,0,5,1,2.0,3,24619.0,1
29.0,1,1,14.0,2,1,4,4.0,0,5.0,3,5.0,1,3,0,3.0,1,25352.0,1
